update mean_generation_sp0 mean_fitness_sp0 max_fitness_sp0 mean_generation_sp1 mean_fitness_sp1 max_fitness_sp1 mean_generation_sp2 mean_fitness_sp2 max_fitness_sp2 mean_generation_sp3 mean_fitness_sp3 max_fitness_sp3 mean_generation_sp4 mean_fitness_sp4 max_fitness_sp4 mean_generation_sp5 mean_fitness_sp5 max_fitness_sp5 mean_generation_sp6 mean_fitness_sp6 max_fitness_sp6 mean_generation_sp7 mean_fitness_sp7 max_fitness_sp7 mean_generation_sp8 mean_fitness_sp8 max_fitness_sp8 mean_generation_sp9 mean_fitness_sp9 max_fitness_sp9
54 0.0649 -188.5438 1478.1622 0.8000 -1905.6484 -1590.3646 0.8824 -2448.5390 -844.5799 1.3704 -1942.1926 707.0872 2.0968 -2050.4484 -213.0615 2.9000 -3135.6302 -1690.4708 3.6750 -2966.7054 -285.0269 5.9730 -3979.3369 -2063.2153 8.7241 -3978.7479 -2264.1041 10.6500 -5074.0455 -3423.1405
55 0.0921 -192.8093 1883.6250 0.2857 -1670.2752 -1590.3646 1.0625 -2322.8150 -844.5799 1.3226 -2210.8567 707.0872 2.0882 -2050.4948 -213.0615 2.6923 -3232.8830 -1324.8379 3.8500 -3150.8516 -285.0269 5.7586 -3903.1565 -2063.2153 8.1500 -4018.5312 -2264.1041 10.6500 -5102.4502 -3423.1405
56 0.0250 -245.4147 1883.6250 0.0000 -1665.8807 -1665.8807 0.7500 -1858.2776 -844.5799 1.2857 -2208.5336 707.0872 1.9000 -2047.7414 -213.0615 2.9000 -2952.4980 -1324.8379 3.6500 -3247.2094 -285.0269 5.5135 -3936.4446 -2063.2153 8.0000 -3974.9697 -1954.5678 10.8049 -5032.0402 -3054.6647
57 0.0435 12.8042 1883.6250 0.5455 -1960.9558 -832.9748 0.6667 -1840.4757 -844.5799 1.3030 -2255.5868 707.0872 1.7778 -2114.3122 -213.0615 3.0500 -2941.9710 -1191.4922 4.0500 -3367.4843 -285.0269 5.7632 -3975.2600 -2063.2153 8.0769 -3981.2231 -1954.5678 10.8000 -4997.6571 -3054.6647
58 0.1000 -145.4609 2593.3770 0.6667 -1696.5781 -832.9748 0.9231 -1918.9373 -844.5799 1.3056 -2112.7146 707.0872 1.7000 -2167.5697 -213.0615 2.9250 -3010.0323 -1191.4922 4.0588 -3289.3573 -1833.6711 6.2500 -4051.1449 -2063.2153 8.5897 -4174.5918 -2839.3736 10.9250 -4952.9426 -3054.6647
59 0.1447 -119.9098 1840.8351 1.1667 -1534.9270 -230.2268 0.8889 -1944.2321 -844.5799 1.2647 -2300.5631 707.0872 1.7073 -2214.4253 16.0917 3.0270 -3080.4388 -1191.4922 4.0270 -3306.2436 -1838.0208 6.3243 -4004.7560 -1833.6711 9.1000 -4230.3392 -2839.3736 10.8500 -5032.6821 -3054.6647
60 0.0411 142.3072 1967.3979 1.5000 -1938.8363 -230.2268 0.9444 -1969.7109 -832.9748 1.3571 -2151.8026 707.0872 1.9750 -2384.4296 16.0917 2.9487 -3002.2156 -1191.4922 4.0750 -3249.3881 -1838.0208 6.3243 -3977.5494 -1833.6711 9.3250 -4325.2933 -2839.3736 10.8250 -5064.3686 -3423.1405
61 0.0526 -78.7481 1952.4219 0.8333 -1597.0187 -230.2268 1.1000 -1987.7866 -832.9748 1.3103 -2190.7703 -844.5799 1.8333 -2256.7450 707.0872 3.0250 -3026.2630 -1191.4922 4.0750 -3334.2600 -2097.2812 6.3333 -3907.4932 -1833.6711 9.2750 -4518.1151 -3179.6005 10.8250 -5158.7941 -3631.8227
62 0.1013 -112.4387 2220.2924 0.6667 -1757.4379 -303.0615 1.3571 -1842.1696 -230.2268 1.2353 -2094.9213 -844.5799 1.8500 -2323.1005 707.0872 3.1562 -2944.6546 -1693.3921 4.0750 -3437.1427 -2097.2812 6.4750 -3897.8035 -1833.6711 9.4250 -4533.3674 -3040.5244 11.0000 -5140.6716 -3631.8227
63 0.0641 -92.8621 2024.0574 1.0000 -1491.9259 -303.0615 1.0000 -1757.3828 -230.2268 1.4250 -2076.6217 -844.5799 1.8462 -2152.0556 707.0872 2.9744 -3024.7290 -572.0204 4.5000 -3119.3501 -2097.2812 6.7500 -3982.0349 -1833.6711 9.4750 -4598.2424 -3040.5244 11.1000 -5162.0459 -4386.7737
64 0.1026 -151.9831 2156.6945 0.0000 -1948.0341 -1948.0341 0.9231 -1616.0399 -230.2268 1.5000 -2016.7388 -844.5799 1.7692 -2324.1358 707.0872 2.7750 -3108.6898 -572.0204 4.5417 -3085.7143 -1481.4733 6.9429 -3876.4284 -1833.6711 9.6500 -4647.9191 -3040.5244 11.2250 -5185.7688 -4386.7737
65 0.1039 44.8114 2308.8760 0.6000 -2015.2874 -1948.0341 1.0000 -1489.5416 -230.2268 1.5625 -2033.3439 -844.5799 1.6216 -2230.4375 707.0872 2.9394 -2956.8358 -1713.1656 3.7750 -3415.4357 -1481.4733 6.6364 -3864.6562 -1833.6711 9.7750 -4616.2157 -3040.5244 11.3750 -5160.5101 -4208.1055
66 0.0278 -84.8229 1622.7210 0.6667 -1646.6684 650.0473 1.0000 -1556.8436 -230.2268 1.3846 -1920.2804 -832.9748 1.6750 -2228.6794 707.0872 2.9211 -2927.1114 -891.3011 3.5263 -3432.0726 -1481.4733 5.9667 -3755.5524 -1833.6711 10.0938 -4385.7180 -3139.3903 11.4500 -5175.0573 -4208.1055
67 0.0625 -136.3182 1754.6834 1.0000 -977.3137 650.0473 0.8750 -1615.7008 -101.8756 1.3200 -1832.6230 -832.9748 1.6000 -2316.6815 707.0872 3.0286 -2996.0602 -891.3011 4.4231 -3028.1522 -1481.4733 4.6000 -3769.5487 -1833.6711 9.9000 -4287.8623 -3139.3903 11.5000 -5169.9040 -3987.2910
