update sp0_mean_age sp0_mean_fitness sp0_max_fitness sp1_mean_age sp1_mean_fitness sp1_max_fitness sp2_mean_age sp2_mean_fitness sp2_max_fitness sp3_mean_age sp3_mean_fitness sp3_max_fitness sp4_mean_age sp4_mean_fitness sp4_max_fitness sp5_mean_age sp5_mean_fitness sp5_max_fitness sp6_mean_age sp6_mean_fitness sp6_max_fitness sp7_mean_age sp7_mean_fitness sp7_max_fitness sp8_mean_age sp8_mean_fitness sp8_max_fitness sp9_mean_age sp9_mean_fitness sp9_max_fitness
47 0.9867 -306.4260 2235.9437 7.6667 -2406.3579 -1291.3474 12.4545 -1443.7945 707.0872 19.7895 -1517.6898 209.6200 31.6250 -2249.0564 -409.6756 51.8947 -2574.1682 -285.0269 83.9500 -3293.1398 -1838.0208 136.1250 -4004.9832 -2264.1041 225.3250 -4260.1050 -2781.0920 339.5750 -4831.4160 -3121.0802
48 0.7429 -105.0264 2104.6513 7.8462 -2727.3281 -1291.3474 12.4167 -1726.5475 707.0872 20.3243 -1639.4291 209.6200 33.2500 -2562.8446 -409.6756 51.8286 -2665.9216 -285.0269 86.9512 -3273.7580 -1646.4368 133.3077 -4058.6676 -2264.1041 239.3750 -4284.4495 -2781.0920 349.3750 -4861.8094 -3423.1405
49 1.0250 -132.8564 2344.5504 8.8000 -2506.3682 -1291.3474 11.8235 -2276.1981 707.0872 21.6250 -1692.2523 209.6200 32.7931 -2030.9537 -409.6756 53.9250 -2680.0680 -285.0269 87.3529 -3285.7447 -1646.4368 133.5000 -4055.0035 -2264.1041 229.1538 -4156.5309 -2781.0920 362.7500 -4914.0780 -3423.1405
50 1.1250 -295.1666 1652.4663 9.0000 -1879.5031 -1879.5031 13.2857 -2502.1056 707.0872 21.1053 -1367.6967 16.0917 30.3250 -2000.3469 -274.0164 50.4062 -2579.3093 -285.0269 82.1750 -3139.1793 -1646.4368 138.6250 -4021.4616 -2264.1041 229.0714 -4163.7327 -2781.0920 381.1250 -5010.5265 -3423.1405
51 1.1316 -204.5598 1740.9759 7.0000 -2526.4028 -2298.4333 13.2308 -2129.6254 707.0872 19.8846 -1913.9273 16.0917 30.9750 -2156.3400 -274.0164 51.5135 -2634.0637 -285.0269 82.2424 -3261.0242 -1646.4368 137.7857 -3973.8358 -2063.2153 230.9677 -4182.5312 -2781.0920 395.0250 -5004.0151 -3423.1405
52 0.6857 13.8182 2129.6007 8.2143 -2445.8772 -844.5799 13.9000 -2310.1661 -1291.3474 20.5172 -1805.2905 707.0872 31.7750 -2334.4032 -274.0164 53.0500 -2665.2972 -285.0269 82.6875 -3229.3275 -1646.4368 139.4500 -3998.0425 -2063.2153 224.4333 -4068.8432 -2593.5527 406.1000 -4979.0225 -3423.1405
53 1.0375 2.0710 2129.6007 8.3333 -1701.1252 -844.5799 11.3750 -2505.3306 -1291.3474 19.5556 -1957.2397 707.0872 32.5000 -2215.3267 -213.0615 54.7000 -2875.5540 -1561.9512 84.4286 -3110.0296 -285.0269 134.3333 -3976.2862 -2063.2153 216.8750 -3980.8396 -2264.1041 417.1500 -5048.8011 -3423.1405
54 1.1039 -188.5438 1478.1622 8.2000 -1905.6484 -1590.3646 12.8235 -2448.5390 -844.5799 20.2222 -1942.1926 707.0872 31.5806 -2050.4484 -213.0615 51.8500 -3135.6302 -1690.4708 81.1500 -2966.7054 -285.0269 134.4595 -3979.3369 -2063.2153 213.2759 -3978.7479 -2264.1041 423.8500 -5074.0455 -3423.1405
55 1.1711 -192.8093 1883.6250 7.7143 -1670.2752 -1590.3646 13.8125 -2322.8150 -844.5799 20.6774 -2210.8567 707.0872 32.2353 -2050.4948 -213.0615 52.7179 -3232.8830 -1324.8379 84.1000 -3150.8516 -285.0269 128.4828 -3903.1565 -2063.2153 201.6500 -4018.5312 -2264.1041 436.9500 -5102.4502 -3423.1405
56 1.1375 -245.4147 1883.6250 9.0000 -1665.8807 -1665.8807 11.7500 -1858.2776 -844.5799 19.7714 -2208.5336 707.0872 31.8250 -2047.7414 -213.0615 51.7333 -2952.4980 -1324.8379 83.0000 -3247.2094 -285.0269 127.9189 -3936.4446 -2063.2153 201.2941 -3974.9697 -1954.5678 436.3415 -5032.0402 -3054.6647
57 0.6522 12.8042 1883.6250 8.0909 -1960.9558 -832.9748 13.2500 -1840.4757 -844.5799 20.0909 -2255.5868 707.0872 30.3056 -2114.3122 -213.0615 51.0750 -2941.9710 -1191.4922 86.5500 -3367.4843 -285.0269 130.6579 -3975.2600 -2063.2153 202.7949 -3981.2231 -1954.5678 450.0750 -4997.6571 -3054.6647
